Epoch [1/200], Train Loss: 19.3918, Val Loss: 7.3712, Val R2: -100.8863
Epoch [2/200], Train Loss: 3.9177, Val Loss: 1.2739, Val R2: -16.6154
Epoch [3/200], Train Loss: 0.6938, Val Loss: 0.2764, Val R2: -2.8265
Epoch [4/200], Train Loss: 0.1800, Val Loss: 0.1060, Val R2: -0.4704
Epoch [5/200], Train Loss: 0.0900, Val Loss: 0.0751, Val R2: -0.0429
Epoch [6/200], Train Loss: 0.0718, Val Loss: 0.0678, Val R2: 0.0591
Epoch [7/200], Train Loss: 0.0672, Val Loss: 0.0654, Val R2: 0.0925
Epoch [8/200], Train Loss: 0.0654, Val Loss: 0.0644, Val R2: 0.1058
Epoch [9/200], Train Loss: 0.0646, Val Loss: 0.0640, Val R2: 0.1109
Epoch [10/200], Train Loss: 0.0644, Val Loss: 0.0639, Val R2: 0.1122
Epoch [11/200], Train Loss: 0.0644, Val Loss: 0.0639, Val R2: 0.1122
Epoch [12/200], Train Loss: 0.0643, Val Loss: 0.0638, Val R2: 0.1135
Epoch [13/200], Train Loss: 0.0641, Val Loss: 0.0635, Val R2: 0.1185
Epoch [14/200], Train Loss: 0.0635, Val Loss: 0.0627, Val R2: 0.1286
Epoch [15/200], Train Loss: 0.0627, Val Loss: 0.0617, Val R2: 0.1427
Epoch [16/200], Train Loss: 0.0616, Val Loss: 0.0607, Val R2: 0.1573
Epoch [17/200], Train Loss: 0.0606, Val Loss: 0.0597, Val R2: 0.1708
Epoch [18/200], Train Loss: 0.0596, Val Loss: 0.0587, Val R2: 0.1848
Epoch [19/200], Train Loss: 0.0584, Val Loss: 0.0572, Val R2: 0.2060
Epoch [20/200], Train Loss: 0.0563, Val Loss: 0.0548, Val R2: 0.2390
Epoch [21/200], Train Loss: 0.0535, Val Loss: 0.0514, Val R2: 0.2857
Epoch [22/200], Train Loss: 0.0496, Val Loss: 0.0473, Val R2: 0.3420
Epoch [23/200], Train Loss: 0.0454, Val Loss: 0.0432, Val R2: 0.3990
Epoch [24/200], Train Loss: 0.0413, Val Loss: 0.0398, Val R2: 0.4465
Epoch [25/200], Train Loss: 0.0383, Val Loss: 0.0372, Val R2: 0.4812
Epoch [26/200], Train Loss: 0.0362, Val Loss: 0.0356, Val R2: 0.5045
Epoch [27/200], Train Loss: 0.0347, Val Loss: 0.0345, Val R2: 0.5186
Epoch [28/200], Train Loss: 0.0338, Val Loss: 0.0340, Val R2: 0.5262
Epoch [29/200], Train Loss: 0.0334, Val Loss: 0.0337, Val R2: 0.5295
Epoch [30/200], Train Loss: 0.0332, Val Loss: 0.0337, Val R2: 0.5303
Epoch [31/200], Train Loss: 0.0331, Val Loss: 0.0337, Val R2: 0.5303
Epoch [32/200], Train Loss: 0.0331, Val Loss: 0.0336, Val R2: 0.5311
Epoch [33/200], Train Loss: 0.0331, Val Loss: 0.0334, Val R2: 0.5341
Epoch [34/200], Train Loss: 0.0327, Val Loss: 0.0330, Val R2: 0.5403
Epoch [35/200], Train Loss: 0.0322, Val Loss: 0.0323, Val R2: 0.5501
Epoch [36/200], Train Loss: 0.0314, Val Loss: 0.0313, Val R2: 0.5631
Epoch [37/200], Train Loss: 0.0302, Val Loss: 0.0302, Val R2: 0.5783
