Epoch [1/50], Train Loss: 0.0456, Val Loss: 0.0337, Val R2: 0.5141
Epoch [2/50], Train Loss: 0.0340, Val Loss: 0.0295, Val R2: 0.5751
Epoch [3/50], Train Loss: 0.0306, Val Loss: 0.0274, Val R2: 0.6073
Epoch [4/50], Train Loss: 0.0286, Val Loss: 0.0260, Val R2: 0.6274
Epoch [5/50], Train Loss: 0.0274, Val Loss: 0.0251, Val R2: 0.6405
Epoch [6/50], Train Loss: 0.0265, Val Loss: 0.0245, Val R2: 0.6487
Epoch [7/50], Train Loss: 0.0261, Val Loss: 0.0242, Val R2: 0.6541
Epoch [8/50], Train Loss: 0.0257, Val Loss: 0.0240, Val R2: 0.6564
Epoch [9/50], Train Loss: 0.0257, Val Loss: 0.0239, Val R2: 0.6577
Epoch [10/50], Train Loss: 0.0256, Val Loss: 0.0239, Val R2: 0.6581
Epoch [11/50], Train Loss: 0.0255, Val Loss: 0.0239, Val R2: 0.6581
Epoch [12/50], Train Loss: 0.0255, Val Loss: 0.0239, Val R2: 0.6584
Epoch [13/50], Train Loss: 0.0255, Val Loss: 0.0238, Val R2: 0.6599
Epoch [14/50], Train Loss: 0.0253, Val Loss: 0.0236, Val R2: 0.6623
Epoch [15/50], Train Loss: 0.0249, Val Loss: 0.0234, Val R2: 0.6662
Epoch [16/50], Train Loss: 0.0246, Val Loss: 0.0230, Val R2: 0.6709
Epoch [17/50], Train Loss: 0.0242, Val Loss: 0.0226, Val R2: 0.6779
Epoch [18/50], Train Loss: 0.0238, Val Loss: 0.0222, Val R2: 0.6829
Epoch [19/50], Train Loss: 0.0233, Val Loss: 0.0217, Val R2: 0.6904
Epoch [20/50], Train Loss: 0.0228, Val Loss: 0.0215, Val R2: 0.6939
Epoch [21/50], Train Loss: 0.0224, Val Loss: 0.0210, Val R2: 0.7003
Epoch [22/50], Train Loss: 0.0220, Val Loss: 0.0208, Val R2: 0.7033
Epoch [23/50], Train Loss: 0.0217, Val Loss: 0.0206, Val R2: 0.7073
Epoch [24/50], Train Loss: 0.0215, Val Loss: 0.0204, Val R2: 0.7093
Epoch [25/50], Train Loss: 0.0214, Val Loss: 0.0203, Val R2: 0.7116
Epoch [26/50], Train Loss: 0.0212, Val Loss: 0.0202, Val R2: 0.7123
Epoch [27/50], Train Loss: 0.0211, Val Loss: 0.0201, Val R2: 0.7139
Epoch [28/50], Train Loss: 0.0210, Val Loss: 0.0201, Val R2: 0.7143
Epoch [29/50], Train Loss: 0.0210, Val Loss: 0.0201, Val R2: 0.7144
Epoch [30/50], Train Loss: 0.0210, Val Loss: 0.0201, Val R2: 0.7145
Epoch [31/50], Train Loss: 0.0211, Val Loss: 0.0201, Val R2: 0.7145
Epoch [32/50], Train Loss: 0.0209, Val Loss: 0.0201, Val R2: 0.7146
Epoch [33/50], Train Loss: 0.0210, Val Loss: 0.0200, Val R2: 0.7149
Epoch [34/50], Train Loss: 0.0210, Val Loss: 0.0200, Val R2: 0.7153
Epoch [35/50], Train Loss: 0.0209, Val Loss: 0.0199, Val R2: 0.7163
Epoch [36/50], Train Loss: 0.0208, Val Loss: 0.0198, Val R2: 0.7176
Epoch [37/50], Train Loss: 0.0208, Val Loss: 0.0197, Val R2: 0.7190
Epoch [38/50], Train Loss: 0.0206, Val Loss: 0.0196, Val R2: 0.7207
Epoch [39/50], Train Loss: 0.0205, Val Loss: 0.0195, Val R2: 0.7220
Epoch [40/50], Train Loss: 0.0205, Val Loss: 0.0195, Val R2: 0.7226
Epoch [41/50], Train Loss: 0.0202, Val Loss: 0.0193, Val R2: 0.7259
Epoch [42/50], Train Loss: 0.0201, Val Loss: 0.0192, Val R2: 0.7266
Epoch [43/50], Train Loss: 0.0200, Val Loss: 0.0192, Val R2: 0.7273
Epoch [44/50], Train Loss: 0.0199, Val Loss: 0.0190, Val R2: 0.7291
Epoch [45/50], Train Loss: 0.0198, Val Loss: 0.0190, Val R2: 0.7292
Epoch [46/50], Train Loss: 0.0199, Val Loss: 0.0190, Val R2: 0.7300
Epoch [47/50], Train Loss: 0.0198, Val Loss: 0.0190, Val R2: 0.7302
Epoch [48/50], Train Loss: 0.0198, Val Loss: 0.0189, Val R2: 0.7304
Epoch [49/50], Train Loss: 0.0197, Val Loss: 0.0189, Val R2: 0.7305
Epoch [50/50], Train Loss: 0.0197, Val Loss: 0.0189, Val R2: 0.7306
