Epoch [1/50], Train Loss: 0.0524, Val Loss: 0.0402, Val R2: 0.4181
Epoch [2/50], Train Loss: 0.0406, Val Loss: 0.0350, Val R2: 0.4960
Epoch [3/50], Train Loss: 0.0361, Val Loss: 0.0322, Val R2: 0.5370
Epoch [4/50], Train Loss: 0.0335, Val Loss: 0.0301, Val R2: 0.5669
Epoch [5/50], Train Loss: 0.0318, Val Loss: 0.0289, Val R2: 0.5854
Epoch [6/50], Train Loss: 0.0305, Val Loss: 0.0280, Val R2: 0.5981
Epoch [7/50], Train Loss: 0.0299, Val Loss: 0.0275, Val R2: 0.6055
Epoch [8/50], Train Loss: 0.0293, Val Loss: 0.0273, Val R2: 0.6092
Epoch [9/50], Train Loss: 0.0292, Val Loss: 0.0271, Val R2: 0.6110
Epoch [10/50], Train Loss: 0.0292, Val Loss: 0.0271, Val R2: 0.6115
Epoch [11/50], Train Loss: 0.0290, Val Loss: 0.0271, Val R2: 0.6115
Epoch [12/50], Train Loss: 0.0290, Val Loss: 0.0271, Val R2: 0.6119
Epoch [13/50], Train Loss: 0.0290, Val Loss: 0.0269, Val R2: 0.6139
Epoch [14/50], Train Loss: 0.0288, Val Loss: 0.0267, Val R2: 0.6174
Epoch [15/50], Train Loss: 0.0283, Val Loss: 0.0263, Val R2: 0.6230
Epoch [16/50], Train Loss: 0.0278, Val Loss: 0.0258, Val R2: 0.6307
Epoch [17/50], Train Loss: 0.0272, Val Loss: 0.0252, Val R2: 0.6394
Epoch [18/50], Train Loss: 0.0266, Val Loss: 0.0247, Val R2: 0.6465
Epoch [19/50], Train Loss: 0.0259, Val Loss: 0.0240, Val R2: 0.6571
Epoch [20/50], Train Loss: 0.0252, Val Loss: 0.0235, Val R2: 0.6646
Epoch [21/50], Train Loss: 0.0246, Val Loss: 0.0230, Val R2: 0.6721
Epoch [22/50], Train Loss: 0.0242, Val Loss: 0.0226, Val R2: 0.6781
Epoch [23/50], Train Loss: 0.0237, Val Loss: 0.0223, Val R2: 0.6824
Epoch [24/50], Train Loss: 0.0234, Val Loss: 0.0220, Val R2: 0.6863
Epoch [25/50], Train Loss: 0.0233, Val Loss: 0.0219, Val R2: 0.6875
Epoch [26/50], Train Loss: 0.0230, Val Loss: 0.0217, Val R2: 0.6904
Epoch [27/50], Train Loss: 0.0228, Val Loss: 0.0216, Val R2: 0.6917
Epoch [28/50], Train Loss: 0.0227, Val Loss: 0.0216, Val R2: 0.6925
Epoch [29/50], Train Loss: 0.0227, Val Loss: 0.0216, Val R2: 0.6927
Epoch [30/50], Train Loss: 0.0227, Val Loss: 0.0216, Val R2: 0.6928
Epoch [31/50], Train Loss: 0.0228, Val Loss: 0.0216, Val R2: 0.6928
Epoch [32/50], Train Loss: 0.0227, Val Loss: 0.0216, Val R2: 0.6929
Epoch [33/50], Train Loss: 0.0227, Val Loss: 0.0215, Val R2: 0.6934
Epoch [34/50], Train Loss: 0.0228, Val Loss: 0.0215, Val R2: 0.6940
Epoch [35/50], Train Loss: 0.0226, Val Loss: 0.0214, Val R2: 0.6953
Epoch [36/50], Train Loss: 0.0224, Val Loss: 0.0213, Val R2: 0.6969
Epoch [37/50], Train Loss: 0.0224, Val Loss: 0.0211, Val R2: 0.6988
Epoch [38/50], Train Loss: 0.0222, Val Loss: 0.0210, Val R2: 0.7011
Epoch [39/50], Train Loss: 0.0220, Val Loss: 0.0209, Val R2: 0.7030
Epoch [40/50], Train Loss: 0.0220, Val Loss: 0.0206, Val R2: 0.7064
Epoch [41/50], Train Loss: 0.0216, Val Loss: 0.0205, Val R2: 0.7082
Epoch [42/50], Train Loss: 0.0214, Val Loss: 0.0204, Val R2: 0.7099
Epoch [43/50], Train Loss: 0.0213, Val Loss: 0.0202, Val R2: 0.7120
Epoch [44/50], Train Loss: 0.0212, Val Loss: 0.0201, Val R2: 0.7136
Epoch [45/50], Train Loss: 0.0210, Val Loss: 0.0200, Val R2: 0.7149
Epoch [46/50], Train Loss: 0.0210, Val Loss: 0.0200, Val R2: 0.7158
Epoch [47/50], Train Loss: 0.0209, Val Loss: 0.0199, Val R2: 0.7164
Epoch [48/50], Train Loss: 0.0208, Val Loss: 0.0199, Val R2: 0.7169
Epoch [49/50], Train Loss: 0.0207, Val Loss: 0.0199, Val R2: 0.7170
Epoch [50/50], Train Loss: 0.0208, Val Loss: 0.0199, Val R2: 0.7170
