Epoch [1/50], Train Loss: 0.0180, Val Loss: 0.0164, Val R2: 0.7678
Epoch [2/50], Train Loss: 0.0171, Val Loss: 0.0161, Val R2: 0.7721
Epoch [3/50], Train Loss: 0.0170, Val Loss: 0.0160, Val R2: 0.7737
Epoch [4/50], Train Loss: 0.0166, Val Loss: 0.0159, Val R2: 0.7745
Epoch [5/50], Train Loss: 0.0166, Val Loss: 0.0159, Val R2: 0.7753
Epoch [6/50], Train Loss: 0.0166, Val Loss: 0.0158, Val R2: 0.7758
Epoch [7/50], Train Loss: 0.0164, Val Loss: 0.0158, Val R2: 0.7759
Epoch [8/50], Train Loss: 0.0165, Val Loss: 0.0158, Val R2: 0.7762
Epoch [9/50], Train Loss: 0.0165, Val Loss: 0.0158, Val R2: 0.7762
Epoch [10/50], Train Loss: 0.0164, Val Loss: 0.0158, Val R2: 0.7762
Epoch [11/50], Train Loss: 0.0164, Val Loss: 0.0158, Val R2: 0.7762
Epoch [12/50], Train Loss: 0.0164, Val Loss: 0.0158, Val R2: 0.7763
Epoch [13/50], Train Loss: 0.0163, Val Loss: 0.0158, Val R2: 0.7763
Epoch [14/50], Train Loss: 0.0164, Val Loss: 0.0158, Val R2: 0.7764
Epoch [15/50], Train Loss: 0.0164, Val Loss: 0.0158, Val R2: 0.7766
Epoch [16/50], Train Loss: 0.0163, Val Loss: 0.0158, Val R2: 0.7768
Epoch [17/50], Train Loss: 0.0163, Val Loss: 0.0157, Val R2: 0.7771
Epoch [18/50], Train Loss: 0.0163, Val Loss: 0.0157, Val R2: 0.7773
Epoch [19/50], Train Loss: 0.0162, Val Loss: 0.0157, Val R2: 0.7776
Epoch [20/50], Train Loss: 0.0163, Val Loss: 0.0157, Val R2: 0.7779
Epoch [21/50], Train Loss: 0.0161, Val Loss: 0.0157, Val R2: 0.7780
Epoch [22/50], Train Loss: 0.0162, Val Loss: 0.0157, Val R2: 0.7784
Epoch [23/50], Train Loss: 0.0161, Val Loss: 0.0156, Val R2: 0.7785
Epoch [24/50], Train Loss: 0.0161, Val Loss: 0.0156, Val R2: 0.7789
Epoch [25/50], Train Loss: 0.0161, Val Loss: 0.0156, Val R2: 0.7790
Epoch [26/50], Train Loss: 0.0161, Val Loss: 0.0156, Val R2: 0.7792
Epoch [27/50], Train Loss: 0.0160, Val Loss: 0.0156, Val R2: 0.7792
Epoch [28/50], Train Loss: 0.0161, Val Loss: 0.0156, Val R2: 0.7793
Epoch [29/50], Train Loss: 0.0160, Val Loss: 0.0156, Val R2: 0.7793
Epoch [30/50], Train Loss: 0.0160, Val Loss: 0.0156, Val R2: 0.7793
Epoch [31/50], Train Loss: 0.0160, Val Loss: 0.0156, Val R2: 0.7793
Epoch [32/50], Train Loss: 0.0161, Val Loss: 0.0156, Val R2: 0.7794
Epoch [33/50], Train Loss: 0.0160, Val Loss: 0.0156, Val R2: 0.7794
Epoch [34/50], Train Loss: 0.0160, Val Loss: 0.0156, Val R2: 0.7794
Epoch [35/50], Train Loss: 0.0160, Val Loss: 0.0156, Val R2: 0.7793
Epoch [36/50], Train Loss: 0.0160, Val Loss: 0.0156, Val R2: 0.7795
Epoch [37/50], Train Loss: 0.0160, Val Loss: 0.0156, Val R2: 0.7795
Epoch [38/50], Train Loss: 0.0160, Val Loss: 0.0156, Val R2: 0.7798
Epoch [39/50], Train Loss: 0.0161, Val Loss: 0.0155, Val R2: 0.7800
Epoch [40/50], Train Loss: 0.0159, Val Loss: 0.0156, Val R2: 0.7793
Epoch [41/50], Train Loss: 0.0159, Val Loss: 0.0155, Val R2: 0.7799
Epoch [42/50], Train Loss: 0.0160, Val Loss: 0.0155, Val R2: 0.7799
Epoch [43/50], Train Loss: 0.0158, Val Loss: 0.0155, Val R2: 0.7803
Epoch [44/50], Train Loss: 0.0159, Val Loss: 0.0155, Val R2: 0.7806
Epoch [45/50], Train Loss: 0.0158, Val Loss: 0.0155, Val R2: 0.7805
Epoch [46/50], Train Loss: 0.0158, Val Loss: 0.0155, Val R2: 0.7805
Epoch [47/50], Train Loss: 0.0158, Val Loss: 0.0155, Val R2: 0.7807
Epoch [48/50], Train Loss: 0.0158, Val Loss: 0.0155, Val R2: 0.7808
Epoch [49/50], Train Loss: 0.0158, Val Loss: 0.0155, Val R2: 0.7808
Epoch [50/50], Train Loss: 0.0158, Val Loss: 0.0155, Val R2: 0.7808
