Epoch [1/50], Train Loss: 0.0225, Val Loss: 0.0204, Val R2: 0.7269
Epoch [2/50], Train Loss: 0.0208, Val Loss: 0.0195, Val R2: 0.7386
Epoch [3/50], Train Loss: 0.0201, Val Loss: 0.0193, Val R2: 0.7414
Epoch [4/50], Train Loss: 0.0197, Val Loss: 0.0190, Val R2: 0.7456
Epoch [5/50], Train Loss: 0.0195, Val Loss: 0.0189, Val R2: 0.7464
Epoch [6/50], Train Loss: 0.0194, Val Loss: 0.0188, Val R2: 0.7481
Epoch [7/50], Train Loss: 0.0191, Val Loss: 0.0187, Val R2: 0.7490
Epoch [8/50], Train Loss: 0.0192, Val Loss: 0.0187, Val R2: 0.7494
Epoch [9/50], Train Loss: 0.0193, Val Loss: 0.0187, Val R2: 0.7498
Epoch [10/50], Train Loss: 0.0191, Val Loss: 0.0187, Val R2: 0.7498
Epoch [11/50], Train Loss: 0.0191, Val Loss: 0.0187, Val R2: 0.7498
Epoch [12/50], Train Loss: 0.0191, Val Loss: 0.0187, Val R2: 0.7498
Epoch [13/50], Train Loss: 0.0191, Val Loss: 0.0186, Val R2: 0.7500
Epoch [14/50], Train Loss: 0.0190, Val Loss: 0.0186, Val R2: 0.7503
Epoch [15/50], Train Loss: 0.0190, Val Loss: 0.0186, Val R2: 0.7510
Epoch [16/50], Train Loss: 0.0191, Val Loss: 0.0185, Val R2: 0.7517
Epoch [17/50], Train Loss: 0.0191, Val Loss: 0.0185, Val R2: 0.7522
Epoch [18/50], Train Loss: 0.0189, Val Loss: 0.0184, Val R2: 0.7539
Epoch [19/50], Train Loss: 0.0188, Val Loss: 0.0183, Val R2: 0.7541
Epoch [20/50], Train Loss: 0.0187, Val Loss: 0.0182, Val R2: 0.7564
Epoch [21/50], Train Loss: 0.0186, Val Loss: 0.0181, Val R2: 0.7571
Epoch [22/50], Train Loss: 0.0185, Val Loss: 0.0181, Val R2: 0.7580
Epoch [23/50], Train Loss: 0.0185, Val Loss: 0.0180, Val R2: 0.7588
Epoch [24/50], Train Loss: 0.0183, Val Loss: 0.0180, Val R2: 0.7589
Epoch [25/50], Train Loss: 0.0183, Val Loss: 0.0179, Val R2: 0.7606
Epoch [26/50], Train Loss: 0.0183, Val Loss: 0.0178, Val R2: 0.7614
Epoch [27/50], Train Loss: 0.0182, Val Loss: 0.0178, Val R2: 0.7618
Epoch [28/50], Train Loss: 0.0184, Val Loss: 0.0178, Val R2: 0.7618
Epoch [29/50], Train Loss: 0.0181, Val Loss: 0.0178, Val R2: 0.7620
Epoch [30/50], Train Loss: 0.0182, Val Loss: 0.0178, Val R2: 0.7620
Epoch [31/50], Train Loss: 0.0182, Val Loss: 0.0178, Val R2: 0.7620
Epoch [32/50], Train Loss: 0.0181, Val Loss: 0.0177, Val R2: 0.7620
Epoch [33/50], Train Loss: 0.0181, Val Loss: 0.0177, Val R2: 0.7621
Epoch [34/50], Train Loss: 0.0181, Val Loss: 0.0177, Val R2: 0.7623
Epoch [35/50], Train Loss: 0.0181, Val Loss: 0.0177, Val R2: 0.7628
Epoch [36/50], Train Loss: 0.0181, Val Loss: 0.0177, Val R2: 0.7633
Epoch [37/50], Train Loss: 0.0180, Val Loss: 0.0176, Val R2: 0.7635
Epoch [38/50], Train Loss: 0.0180, Val Loss: 0.0176, Val R2: 0.7644
Epoch [39/50], Train Loss: 0.0180, Val Loss: 0.0176, Val R2: 0.7646
Epoch [40/50], Train Loss: 0.0179, Val Loss: 0.0175, Val R2: 0.7658
Epoch [41/50], Train Loss: 0.0178, Val Loss: 0.0175, Val R2: 0.7655
Epoch [42/50], Train Loss: 0.0179, Val Loss: 0.0174, Val R2: 0.7672
Epoch [43/50], Train Loss: 0.0178, Val Loss: 0.0173, Val R2: 0.7678
Epoch [44/50], Train Loss: 0.0178, Val Loss: 0.0172, Val R2: 0.7690
Epoch [45/50], Train Loss: 0.0175, Val Loss: 0.0172, Val R2: 0.7695
Epoch [46/50], Train Loss: 0.0175, Val Loss: 0.0171, Val R2: 0.7702
Epoch [47/50], Train Loss: 0.0176, Val Loss: 0.0171, Val R2: 0.7705
Epoch [48/50], Train Loss: 0.0175, Val Loss: 0.0171, Val R2: 0.7706
Epoch [49/50], Train Loss: 0.0174, Val Loss: 0.0171, Val R2: 0.7708
Epoch [50/50], Train Loss: 0.0174, Val Loss: 0.0171, Val R2: 0.7707
