Epoch [1/200], Train Loss: 12.9656, Val Loss: 4.1933, Val R2: -57.9282
Epoch [2/200], Train Loss: 2.0884, Val Loss: 0.6293, Val R2: -7.8371
Epoch [3/200], Train Loss: 0.3265, Val Loss: 0.1310, Val R2: -0.8357
Epoch [4/200], Train Loss: 0.0976, Val Loss: 0.0734, Val R2: -0.0281
Epoch [5/200], Train Loss: 0.0697, Val Loss: 0.0654, Val R2: 0.0848
Epoch [6/200], Train Loss: 0.0651, Val Loss: 0.0637, Val R2: 0.1080
Epoch [7/200], Train Loss: 0.0640, Val Loss: 0.0631, Val R2: 0.1161
Epoch [8/200], Train Loss: 0.0636, Val Loss: 0.0629, Val R2: 0.1199
Epoch [9/200], Train Loss: 0.0633, Val Loss: 0.0627, Val R2: 0.1217
Epoch [10/200], Train Loss: 0.0632, Val Loss: 0.0627, Val R2: 0.1221
Epoch [11/200], Train Loss: 0.0633, Val Loss: 0.0627, Val R2: 0.1221
Epoch [12/200], Train Loss: 0.0631, Val Loss: 0.0627, Val R2: 0.1226
Epoch [13/200], Train Loss: 0.0631, Val Loss: 0.0625, Val R2: 0.1245
Epoch [14/200], Train Loss: 0.0629, Val Loss: 0.0622, Val R2: 0.1287
Epoch [15/200], Train Loss: 0.0624, Val Loss: 0.0617, Val R2: 0.1358
Epoch [16/200], Train Loss: 0.0619, Val Loss: 0.0609, Val R2: 0.1477
Epoch [17/200], Train Loss: 0.0607, Val Loss: 0.0595, Val R2: 0.1676
Epoch [18/200], Train Loss: 0.0589, Val Loss: 0.0572, Val R2: 0.1989
Epoch [19/200], Train Loss: 0.0562, Val Loss: 0.0541, Val R2: 0.2427
Epoch [20/200], Train Loss: 0.0528, Val Loss: 0.0503, Val R2: 0.2959
Epoch [21/200], Train Loss: 0.0488, Val Loss: 0.0464, Val R2: 0.3516
Epoch [22/200], Train Loss: 0.0448, Val Loss: 0.0427, Val R2: 0.4032
Epoch [23/200], Train Loss: 0.0413, Val Loss: 0.0397, Val R2: 0.4461
