Epoch [1/50], Train Loss: 0.0174, Val Loss: 0.0165, Val R2: 0.7598
Epoch [2/50], Train Loss: 0.0168, Val Loss: 0.0164, Val R2: 0.7617
Epoch [3/50], Train Loss: 0.0168, Val Loss: 0.0163, Val R2: 0.7627
Epoch [4/50], Train Loss: 0.0166, Val Loss: 0.0163, Val R2: 0.7631
Epoch [5/50], Train Loss: 0.0166, Val Loss: 0.0163, Val R2: 0.7635
Epoch [6/50], Train Loss: 0.0165, Val Loss: 0.0163, Val R2: 0.7638
Epoch [7/50], Train Loss: 0.0166, Val Loss: 0.0162, Val R2: 0.7639
Epoch [8/50], Train Loss: 0.0166, Val Loss: 0.0162, Val R2: 0.7640
Epoch [9/50], Train Loss: 0.0165, Val Loss: 0.0162, Val R2: 0.7640
Epoch [10/50], Train Loss: 0.0166, Val Loss: 0.0162, Val R2: 0.7640
Epoch [11/50], Train Loss: 0.0165, Val Loss: 0.0162, Val R2: 0.7640
Epoch [12/50], Train Loss: 0.0165, Val Loss: 0.0162, Val R2: 0.7640
Epoch [13/50], Train Loss: 0.0165, Val Loss: 0.0162, Val R2: 0.7641
Epoch [14/50], Train Loss: 0.0164, Val Loss: 0.0162, Val R2: 0.7641
Epoch [15/50], Train Loss: 0.0165, Val Loss: 0.0162, Val R2: 0.7642
Epoch [16/50], Train Loss: 0.0165, Val Loss: 0.0162, Val R2: 0.7643
Epoch [17/50], Train Loss: 0.0164, Val Loss: 0.0162, Val R2: 0.7645
Epoch [18/50], Train Loss: 0.0164, Val Loss: 0.0162, Val R2: 0.7644
Epoch [19/50], Train Loss: 0.0164, Val Loss: 0.0162, Val R2: 0.7646
Epoch [20/50], Train Loss: 0.0164, Val Loss: 0.0162, Val R2: 0.7648
Epoch [21/50], Train Loss: 0.0164, Val Loss: 0.0162, Val R2: 0.7649
Epoch [22/50], Train Loss: 0.0164, Val Loss: 0.0162, Val R2: 0.7650
Epoch [23/50], Train Loss: 0.0163, Val Loss: 0.0162, Val R2: 0.7652
Epoch [24/50], Train Loss: 0.0164, Val Loss: 0.0162, Val R2: 0.7652
Epoch [25/50], Train Loss: 0.0163, Val Loss: 0.0161, Val R2: 0.7654
Epoch [26/50], Train Loss: 0.0163, Val Loss: 0.0161, Val R2: 0.7655
Epoch [27/50], Train Loss: 0.0164, Val Loss: 0.0161, Val R2: 0.7656
Epoch [28/50], Train Loss: 0.0163, Val Loss: 0.0161, Val R2: 0.7656
Epoch [29/50], Train Loss: 0.0163, Val Loss: 0.0161, Val R2: 0.7656
Epoch [30/50], Train Loss: 0.0163, Val Loss: 0.0161, Val R2: 0.7656
Epoch [31/50], Train Loss: 0.0163, Val Loss: 0.0161, Val R2: 0.7656
Epoch [32/50], Train Loss: 0.0163, Val Loss: 0.0161, Val R2: 0.7656
Epoch [33/50], Train Loss: 0.0163, Val Loss: 0.0161, Val R2: 0.7656
Epoch [34/50], Train Loss: 0.0163, Val Loss: 0.0161, Val R2: 0.7656
Epoch [35/50], Train Loss: 0.0163, Val Loss: 0.0161, Val R2: 0.7657
Epoch [36/50], Train Loss: 0.0162, Val Loss: 0.0161, Val R2: 0.7656
Epoch [37/50], Train Loss: 0.0163, Val Loss: 0.0161, Val R2: 0.7657
Epoch [38/50], Train Loss: 0.0162, Val Loss: 0.0161, Val R2: 0.7657
Epoch [39/50], Train Loss: 0.0163, Val Loss: 0.0161, Val R2: 0.7658
Epoch [40/50], Train Loss: 0.0163, Val Loss: 0.0161, Val R2: 0.7659
Epoch [41/50], Train Loss: 0.0163, Val Loss: 0.0161, Val R2: 0.7659
Epoch [42/50], Train Loss: 0.0162, Val Loss: 0.0161, Val R2: 0.7662
Epoch [43/50], Train Loss: 0.0163, Val Loss: 0.0161, Val R2: 0.7663
Epoch [44/50], Train Loss: 0.0162, Val Loss: 0.0161, Val R2: 0.7664
Epoch [45/50], Train Loss: 0.0162, Val Loss: 0.0161, Val R2: 0.7664
Epoch [46/50], Train Loss: 0.0163, Val Loss: 0.0161, Val R2: 0.7665
Epoch [47/50], Train Loss: 0.0161, Val Loss: 0.0161, Val R2: 0.7665
Epoch [48/50], Train Loss: 0.0162, Val Loss: 0.0161, Val R2: 0.7666
Epoch [49/50], Train Loss: 0.0161, Val Loss: 0.0161, Val R2: 0.7666
Epoch [50/50], Train Loss: 0.0161, Val Loss: 0.0161, Val R2: 0.7666
