Epoch [1/200], Train Loss: 11.8265, Val Loss: 3.8915, Val R2: -57.0088
Epoch [2/200], Train Loss: 1.7808, Val Loss: 0.5115, Val R2: -6.6134
Epoch [3/200], Train Loss: 0.2687, Val Loss: 0.1193, Val R2: -0.7675
Epoch [4/200], Train Loss: 0.0921, Val Loss: 0.0708, Val R2: -0.0456
Epoch [5/200], Train Loss: 0.0680, Val Loss: 0.0628, Val R2: 0.0731
Epoch [6/200], Train Loss: 0.0637, Val Loss: 0.0610, Val R2: 0.0994
Epoch [7/200], Train Loss: 0.0626, Val Loss: 0.0604, Val R2: 0.1091
Epoch [8/200], Train Loss: 0.0621, Val Loss: 0.0601, Val R2: 0.1136
Epoch [9/200], Train Loss: 0.0618, Val Loss: 0.0599, Val R2: 0.1156
Epoch [10/200], Train Loss: 0.0618, Val Loss: 0.0599, Val R2: 0.1162
Epoch [11/200], Train Loss: 0.0618, Val Loss: 0.0599, Val R2: 0.1162
Epoch [12/200], Train Loss: 0.0617, Val Loss: 0.0598, Val R2: 0.1168
Epoch [13/200], Train Loss: 0.0616, Val Loss: 0.0597, Val R2: 0.1191
Epoch [14/200], Train Loss: 0.0613, Val Loss: 0.0594, Val R2: 0.1241
Epoch [15/200], Train Loss: 0.0609, Val Loss: 0.0587, Val R2: 0.1334
Epoch [16/200], Train Loss: 0.0602, Val Loss: 0.0576, Val R2: 0.1499
Epoch [17/200], Train Loss: 0.0586, Val Loss: 0.0557, Val R2: 0.1781
Epoch [18/200], Train Loss: 0.0562, Val Loss: 0.0527, Val R2: 0.2236
Epoch [19/200], Train Loss: 0.0526, Val Loss: 0.0483, Val R2: 0.2883
Epoch [20/200], Train Loss: 0.0478, Val Loss: 0.0432, Val R2: 0.3654
Epoch [21/200], Train Loss: 0.0426, Val Loss: 0.0381, Val R2: 0.4413
Epoch [22/200], Train Loss: 0.0379, Val Loss: 0.0339, Val R2: 0.5038
Epoch [23/200], Train Loss: 0.0342, Val Loss: 0.0308, Val R2: 0.5491
Epoch [24/200], Train Loss: 0.0316, Val Loss: 0.0288, Val R2: 0.5797
Epoch [25/200], Train Loss: 0.0297, Val Loss: 0.0274, Val R2: 0.5998
Epoch [26/200], Train Loss: 0.0286, Val Loss: 0.0265, Val R2: 0.6126
Epoch [27/200], Train Loss: 0.0279, Val Loss: 0.0260, Val R2: 0.6202
Epoch [28/200], Train Loss: 0.0275, Val Loss: 0.0258, Val R2: 0.6243
Epoch [29/200], Train Loss: 0.0274, Val Loss: 0.0256, Val R2: 0.6261
Epoch [30/200], Train Loss: 0.0272, Val Loss: 0.0256, Val R2: 0.6265
Epoch [31/200], Train Loss: 0.0271, Val Loss: 0.0256, Val R2: 0.6265
Epoch [32/200], Train Loss: 0.0272, Val Loss: 0.0256, Val R2: 0.6270
Epoch [33/200], Train Loss: 0.0271, Val Loss: 0.0255, Val R2: 0.6286
Epoch [34/200], Train Loss: 0.0269, Val Loss: 0.0252, Val R2: 0.6320
Epoch [35/200], Train Loss: 0.0266, Val Loss: 0.0249, Val R2: 0.6374
Epoch [36/200], Train Loss: 0.0262, Val Loss: 0.0244, Val R2: 0.6446
Epoch [37/200], Train Loss: 0.0257, Val Loss: 0.0238, Val R2: 0.6528
Epoch [38/200], Train Loss: 0.0251, Val Loss: 0.0233, Val R2: 0.6613
Epoch [39/200], Train Loss: 0.0245, Val Loss: 0.0227, Val R2: 0.6693
