Epoch [1/200], Train Loss: 10.8132, Val Loss: 3.5456, Val R2: -48.9539
Epoch [2/200], Train Loss: 1.7386, Val Loss: 0.5870, Val R2: -7.2631
Epoch [3/200], Train Loss: 0.3157, Val Loss: 0.1413, Val R2: -0.9832
Epoch [4/200], Train Loss: 0.1016, Val Loss: 0.0740, Val R2: -0.0346
Epoch [5/200], Train Loss: 0.0686, Val Loss: 0.0630, Val R2: 0.1204
Epoch [6/200], Train Loss: 0.0629, Val Loss: 0.0608, Val R2: 0.1518
Epoch [7/200], Train Loss: 0.0616, Val Loss: 0.0600, Val R2: 0.1621
Epoch [8/200], Train Loss: 0.0611, Val Loss: 0.0597, Val R2: 0.1668
Epoch [9/200], Train Loss: 0.0609, Val Loss: 0.0596, Val R2: 0.1689
Epoch [10/200], Train Loss: 0.0608, Val Loss: 0.0595, Val R2: 0.1694
Epoch [11/200], Train Loss: 0.0608, Val Loss: 0.0595, Val R2: 0.1694
Epoch [12/200], Train Loss: 0.0607, Val Loss: 0.0595, Val R2: 0.1700
Epoch [13/200], Train Loss: 0.0607, Val Loss: 0.0593, Val R2: 0.1722
Epoch [14/200], Train Loss: 0.0604, Val Loss: 0.0590, Val R2: 0.1772
Epoch [15/200], Train Loss: 0.0600, Val Loss: 0.0584, Val R2: 0.1853
Epoch [16/200], Train Loss: 0.0593, Val Loss: 0.0575, Val R2: 0.1972
Epoch [17/200], Train Loss: 0.0583, Val Loss: 0.0564, Val R2: 0.2136
Epoch [18/200], Train Loss: 0.0570, Val Loss: 0.0547, Val R2: 0.2372
Epoch [19/200], Train Loss: 0.0550, Val Loss: 0.0524, Val R2: 0.2702
Epoch [20/200], Train Loss: 0.0522, Val Loss: 0.0492, Val R2: 0.3148
Epoch [21/200], Train Loss: 0.0489, Val Loss: 0.0453, Val R2: 0.3696
Epoch [22/200], Train Loss: 0.0448, Val Loss: 0.0412, Val R2: 0.4270
Epoch [23/200], Train Loss: 0.0408, Val Loss: 0.0375, Val R2: 0.4786
Epoch [24/200], Train Loss: 0.0376, Val Loss: 0.0346, Val R2: 0.5198
Epoch [25/200], Train Loss: 0.0351, Val Loss: 0.0325, Val R2: 0.5491
Epoch [26/200], Train Loss: 0.0333, Val Loss: 0.0311, Val R2: 0.5684
Epoch [27/200], Train Loss: 0.0322, Val Loss: 0.0303, Val R2: 0.5803
Epoch [28/200], Train Loss: 0.0315, Val Loss: 0.0298, Val R2: 0.5867
Epoch [29/200], Train Loss: 0.0312, Val Loss: 0.0296, Val R2: 0.5895
Epoch [30/200], Train Loss: 0.0310, Val Loss: 0.0296, Val R2: 0.5902
Epoch [31/200], Train Loss: 0.0309, Val Loss: 0.0296, Val R2: 0.5902
Epoch [32/200], Train Loss: 0.0311, Val Loss: 0.0295, Val R2: 0.5909
Epoch [33/200], Train Loss: 0.0310, Val Loss: 0.0294, Val R2: 0.5936
Epoch [34/200], Train Loss: 0.0307, Val Loss: 0.0290, Val R2: 0.5991
Epoch [35/200], Train Loss: 0.0300, Val Loss: 0.0283, Val R2: 0.6078
Epoch [36/200], Train Loss: 0.0295, Val Loss: 0.0275, Val R2: 0.6193
Epoch [37/200], Train Loss: 0.0285, Val Loss: 0.0266, Val R2: 0.6323
Epoch [38/200], Train Loss: 0.0277, Val Loss: 0.0256, Val R2: 0.6456
Epoch [39/200], Train Loss: 0.0268, Val Loss: 0.0248, Val R2: 0.6580
Epoch [40/200], Train Loss: 0.0259, Val Loss: 0.0240, Val R2: 0.6687
Epoch [41/200], Train Loss: 0.0251, Val Loss: 0.0233, Val R2: 0.6778
Epoch [42/200], Train Loss: 0.0245, Val Loss: 0.0228, Val R2: 0.6849
Epoch [43/200], Train Loss: 0.0242, Val Loss: 0.0224, Val R2: 0.6903
Epoch [44/200], Train Loss: 0.0238, Val Loss: 0.0222, Val R2: 0.6944
Epoch [45/200], Train Loss: 0.0235, Val Loss: 0.0220, Val R2: 0.6972
Epoch [46/200], Train Loss: 0.0233, Val Loss: 0.0218, Val R2: 0.6992
Epoch [47/200], Train Loss: 0.0232, Val Loss: 0.0217, Val R2: 0.7004
Epoch [48/200], Train Loss: 0.0232, Val Loss: 0.0217, Val R2: 0.7011
Epoch [49/200], Train Loss: 0.0230, Val Loss: 0.0217, Val R2: 0.7015
Epoch [50/200], Train Loss: 0.0232, Val Loss: 0.0216, Val R2: 0.7015
Epoch [51/200], Train Loss: 0.0231, Val Loss: 0.0216, Val R2: 0.7015
Epoch [52/200], Train Loss: 0.0231, Val Loss: 0.0216, Val R2: 0.7016
Epoch [53/200], Train Loss: 0.0231, Val Loss: 0.0216, Val R2: 0.7019
Epoch [54/200], Train Loss: 0.0230, Val Loss: 0.0216, Val R2: 0.7026
Epoch [55/200], Train Loss: 0.0229, Val Loss: 0.0215, Val R2: 0.7036
Epoch [56/200], Train Loss: 0.0229, Val Loss: 0.0214, Val R2: 0.7051
Epoch [57/200], Train Loss: 0.0228, Val Loss: 0.0213, Val R2: 0.7069
Epoch [58/200], Train Loss: 0.0226, Val Loss: 0.0211, Val R2: 0.7087
Epoch [59/200], Train Loss: 0.0224, Val Loss: 0.0210, Val R2: 0.7106
Epoch [60/200], Train Loss: 0.0224, Val Loss: 0.0209, Val R2: 0.7124
Epoch [61/200], Train Loss: 0.0223, Val Loss: 0.0208, Val R2: 0.7139
Epoch [62/200], Train Loss: 0.0221, Val Loss: 0.0207, Val R2: 0.7152
Epoch [63/200], Train Loss: 0.0221, Val Loss: 0.0206, Val R2: 0.7162
Epoch [64/200], Train Loss: 0.0222, Val Loss: 0.0205, Val R2: 0.7171
Epoch [65/200], Train Loss: 0.0221, Val Loss: 0.0205, Val R2: 0.7177
Epoch [66/200], Train Loss: 0.0218, Val Loss: 0.0205, Val R2: 0.7181
Epoch [67/200], Train Loss: 0.0220, Val Loss: 0.0204, Val R2: 0.7184
