Epoch [1/50], Train Loss: 0.0419, Val Loss: 0.0316, Val R2: 0.5452
Epoch [2/50], Train Loss: 0.0323, Val Loss: 0.0283, Val R2: 0.5939
Epoch [3/50], Train Loss: 0.0294, Val Loss: 0.0263, Val R2: 0.6226
Epoch [4/50], Train Loss: 0.0276, Val Loss: 0.0250, Val R2: 0.6418
Epoch [5/50], Train Loss: 0.0265, Val Loss: 0.0242, Val R2: 0.6535
Epoch [6/50], Train Loss: 0.0257, Val Loss: 0.0237, Val R2: 0.6615
Epoch [7/50], Train Loss: 0.0253, Val Loss: 0.0234, Val R2: 0.6662
Epoch [8/50], Train Loss: 0.0249, Val Loss: 0.0232, Val R2: 0.6686
Epoch [9/50], Train Loss: 0.0249, Val Loss: 0.0231, Val R2: 0.6698
Epoch [10/50], Train Loss: 0.0248, Val Loss: 0.0231, Val R2: 0.6701
Epoch [11/50], Train Loss: 0.0247, Val Loss: 0.0231, Val R2: 0.6701
Epoch [12/50], Train Loss: 0.0247, Val Loss: 0.0231, Val R2: 0.6704
Epoch [13/50], Train Loss: 0.0247, Val Loss: 0.0230, Val R2: 0.6718
Epoch [14/50], Train Loss: 0.0246, Val Loss: 0.0228, Val R2: 0.6740
Epoch [15/50], Train Loss: 0.0242, Val Loss: 0.0226, Val R2: 0.6780
Epoch [16/50], Train Loss: 0.0239, Val Loss: 0.0223, Val R2: 0.6826
Epoch [17/50], Train Loss: 0.0235, Val Loss: 0.0219, Val R2: 0.6886
Epoch [18/50], Train Loss: 0.0231, Val Loss: 0.0216, Val R2: 0.6925
Epoch [19/50], Train Loss: 0.0227, Val Loss: 0.0211, Val R2: 0.7004
Epoch [20/50], Train Loss: 0.0222, Val Loss: 0.0208, Val R2: 0.7046
Epoch [21/50], Train Loss: 0.0218, Val Loss: 0.0204, Val R2: 0.7104
Epoch [22/50], Train Loss: 0.0215, Val Loss: 0.0202, Val R2: 0.7132
Epoch [23/50], Train Loss: 0.0211, Val Loss: 0.0200, Val R2: 0.7164
Epoch [24/50], Train Loss: 0.0210, Val Loss: 0.0198, Val R2: 0.7187
Epoch [25/50], Train Loss: 0.0210, Val Loss: 0.0197, Val R2: 0.7196
Epoch [26/50], Train Loss: 0.0207, Val Loss: 0.0196, Val R2: 0.7213
Epoch [27/50], Train Loss: 0.0206, Val Loss: 0.0196, Val R2: 0.7221
Epoch [28/50], Train Loss: 0.0205, Val Loss: 0.0195, Val R2: 0.7229
Epoch [29/50], Train Loss: 0.0205, Val Loss: 0.0195, Val R2: 0.7230
Epoch [30/50], Train Loss: 0.0205, Val Loss: 0.0195, Val R2: 0.7230
Epoch [31/50], Train Loss: 0.0207, Val Loss: 0.0195, Val R2: 0.7230
Epoch [32/50], Train Loss: 0.0205, Val Loss: 0.0195, Val R2: 0.7231
Epoch [33/50], Train Loss: 0.0205, Val Loss: 0.0195, Val R2: 0.7234
Epoch [34/50], Train Loss: 0.0206, Val Loss: 0.0194, Val R2: 0.7238
Epoch [35/50], Train Loss: 0.0204, Val Loss: 0.0194, Val R2: 0.7247
Epoch [36/50], Train Loss: 0.0203, Val Loss: 0.0193, Val R2: 0.7256
Epoch [37/50], Train Loss: 0.0204, Val Loss: 0.0192, Val R2: 0.7273
Epoch [38/50], Train Loss: 0.0202, Val Loss: 0.0191, Val R2: 0.7286
Epoch [39/50], Train Loss: 0.0200, Val Loss: 0.0190, Val R2: 0.7299
Epoch [40/50], Train Loss: 0.0201, Val Loss: 0.0190, Val R2: 0.7305
Epoch [41/50], Train Loss: 0.0199, Val Loss: 0.0188, Val R2: 0.7330
Epoch [42/50], Train Loss: 0.0197, Val Loss: 0.0188, Val R2: 0.7334
Epoch [43/50], Train Loss: 0.0197, Val Loss: 0.0187, Val R2: 0.7348
Epoch [44/50], Train Loss: 0.0196, Val Loss: 0.0186, Val R2: 0.7359
Epoch [45/50], Train Loss: 0.0195, Val Loss: 0.0186, Val R2: 0.7365
Epoch [46/50], Train Loss: 0.0196, Val Loss: 0.0185, Val R2: 0.7371
Epoch [47/50], Train Loss: 0.0195, Val Loss: 0.0185, Val R2: 0.7375
Epoch [48/50], Train Loss: 0.0194, Val Loss: 0.0185, Val R2: 0.7377
Epoch [49/50], Train Loss: 0.0193, Val Loss: 0.0185, Val R2: 0.7377
Epoch [50/50], Train Loss: 0.0194, Val Loss: 0.0185, Val R2: 0.7377
