Epoch [1/50], Train Loss: 0.0199, Val Loss: 0.0179, Val R2: 0.7298
Epoch [2/50], Train Loss: 0.0189, Val Loss: 0.0176, Val R2: 0.7348
Epoch [3/50], Train Loss: 0.0186, Val Loss: 0.0174, Val R2: 0.7368
Epoch [4/50], Train Loss: 0.0185, Val Loss: 0.0174, Val R2: 0.7378
Epoch [5/50], Train Loss: 0.0184, Val Loss: 0.0173, Val R2: 0.7390
Epoch [6/50], Train Loss: 0.0182, Val Loss: 0.0173, Val R2: 0.7394
Epoch [7/50], Train Loss: 0.0183, Val Loss: 0.0173, Val R2: 0.7398
Epoch [8/50], Train Loss: 0.0181, Val Loss: 0.0172, Val R2: 0.7402
Epoch [9/50], Train Loss: 0.0182, Val Loss: 0.0172, Val R2: 0.7403
Epoch [10/50], Train Loss: 0.0182, Val Loss: 0.0172, Val R2: 0.7403
Epoch [11/50], Train Loss: 0.0183, Val Loss: 0.0172, Val R2: 0.7403
Epoch [12/50], Train Loss: 0.0183, Val Loss: 0.0172, Val R2: 0.7404
Epoch [13/50], Train Loss: 0.0181, Val Loss: 0.0172, Val R2: 0.7404
Epoch [14/50], Train Loss: 0.0182, Val Loss: 0.0172, Val R2: 0.7405
Epoch [15/50], Train Loss: 0.0182, Val Loss: 0.0172, Val R2: 0.7409
Epoch [16/50], Train Loss: 0.0182, Val Loss: 0.0172, Val R2: 0.7411
Epoch [17/50], Train Loss: 0.0181, Val Loss: 0.0171, Val R2: 0.7417
Epoch [18/50], Train Loss: 0.0181, Val Loss: 0.0171, Val R2: 0.7422
Epoch [19/50], Train Loss: 0.0180, Val Loss: 0.0171, Val R2: 0.7426
Epoch [20/50], Train Loss: 0.0179, Val Loss: 0.0171, Val R2: 0.7426
Epoch [21/50], Train Loss: 0.0179, Val Loss: 0.0170, Val R2: 0.7438
Epoch [22/50], Train Loss: 0.0178, Val Loss: 0.0170, Val R2: 0.7442
Epoch [23/50], Train Loss: 0.0178, Val Loss: 0.0169, Val R2: 0.7448
Epoch [24/50], Train Loss: 0.0177, Val Loss: 0.0169, Val R2: 0.7451
Epoch [25/50], Train Loss: 0.0176, Val Loss: 0.0169, Val R2: 0.7458
Epoch [26/50], Train Loss: 0.0176, Val Loss: 0.0169, Val R2: 0.7458
Epoch [27/50], Train Loss: 0.0176, Val Loss: 0.0168, Val R2: 0.7463
Epoch [28/50], Train Loss: 0.0175, Val Loss: 0.0168, Val R2: 0.7462
Epoch [29/50], Train Loss: 0.0175, Val Loss: 0.0168, Val R2: 0.7464
Epoch [30/50], Train Loss: 0.0175, Val Loss: 0.0168, Val R2: 0.7464
Epoch [31/50], Train Loss: 0.0176, Val Loss: 0.0168, Val R2: 0.7464
Epoch [32/50], Train Loss: 0.0175, Val Loss: 0.0168, Val R2: 0.7463
Epoch [33/50], Train Loss: 0.0176, Val Loss: 0.0168, Val R2: 0.7463
Epoch [34/50], Train Loss: 0.0175, Val Loss: 0.0168, Val R2: 0.7465
Epoch [35/50], Train Loss: 0.0176, Val Loss: 0.0168, Val R2: 0.7465
Epoch [36/50], Train Loss: 0.0175, Val Loss: 0.0168, Val R2: 0.7467
Epoch [37/50], Train Loss: 0.0175, Val Loss: 0.0168, Val R2: 0.7470
Epoch [38/50], Train Loss: 0.0175, Val Loss: 0.0168, Val R2: 0.7472
Epoch [39/50], Train Loss: 0.0175, Val Loss: 0.0168, Val R2: 0.7474
Epoch [40/50], Train Loss: 0.0174, Val Loss: 0.0167, Val R2: 0.7479
Epoch [41/50], Train Loss: 0.0174, Val Loss: 0.0167, Val R2: 0.7483
Epoch [42/50], Train Loss: 0.0174, Val Loss: 0.0167, Val R2: 0.7486
Epoch [43/50], Train Loss: 0.0174, Val Loss: 0.0167, Val R2: 0.7484
Epoch [44/50], Train Loss: 0.0173, Val Loss: 0.0166, Val R2: 0.7493
Epoch [45/50], Train Loss: 0.0173, Val Loss: 0.0166, Val R2: 0.7493
Epoch [46/50], Train Loss: 0.0173, Val Loss: 0.0166, Val R2: 0.7497
Epoch [47/50], Train Loss: 0.0173, Val Loss: 0.0166, Val R2: 0.7495
Epoch [48/50], Train Loss: 0.0172, Val Loss: 0.0166, Val R2: 0.7499
Epoch [49/50], Train Loss: 0.0172, Val Loss: 0.0166, Val R2: 0.7499
Epoch [50/50], Train Loss: 0.0173, Val Loss: 0.0166, Val R2: 0.7499
