Epoch [1/50], Train Loss: 0.0185, Val Loss: 0.0169, Val R2: 0.7608
Epoch [2/50], Train Loss: 0.0178, Val Loss: 0.0167, Val R2: 0.7632
Epoch [3/50], Train Loss: 0.0177, Val Loss: 0.0167, Val R2: 0.7641
Epoch [4/50], Train Loss: 0.0173, Val Loss: 0.0166, Val R2: 0.7650
Epoch [5/50], Train Loss: 0.0173, Val Loss: 0.0166, Val R2: 0.7655
Epoch [6/50], Train Loss: 0.0173, Val Loss: 0.0165, Val R2: 0.7659
Epoch [7/50], Train Loss: 0.0172, Val Loss: 0.0165, Val R2: 0.7661
Epoch [8/50], Train Loss: 0.0173, Val Loss: 0.0165, Val R2: 0.7662
Epoch [9/50], Train Loss: 0.0172, Val Loss: 0.0165, Val R2: 0.7662
Epoch [10/50], Train Loss: 0.0171, Val Loss: 0.0165, Val R2: 0.7662
Epoch [11/50], Train Loss: 0.0171, Val Loss: 0.0165, Val R2: 0.7662
Epoch [12/50], Train Loss: 0.0172, Val Loss: 0.0165, Val R2: 0.7663
Epoch [13/50], Train Loss: 0.0171, Val Loss: 0.0165, Val R2: 0.7663
Epoch [14/50], Train Loss: 0.0172, Val Loss: 0.0165, Val R2: 0.7664
Epoch [15/50], Train Loss: 0.0171, Val Loss: 0.0165, Val R2: 0.7665
Epoch [16/50], Train Loss: 0.0171, Val Loss: 0.0165, Val R2: 0.7667
Epoch [17/50], Train Loss: 0.0171, Val Loss: 0.0165, Val R2: 0.7668
Epoch [18/50], Train Loss: 0.0171, Val Loss: 0.0165, Val R2: 0.7671
Epoch [19/50], Train Loss: 0.0170, Val Loss: 0.0164, Val R2: 0.7673
Epoch [20/50], Train Loss: 0.0170, Val Loss: 0.0164, Val R2: 0.7674
Epoch [21/50], Train Loss: 0.0169, Val Loss: 0.0164, Val R2: 0.7674
Epoch [22/50], Train Loss: 0.0170, Val Loss: 0.0164, Val R2: 0.7680
Epoch [23/50], Train Loss: 0.0169, Val Loss: 0.0164, Val R2: 0.7681
Epoch [24/50], Train Loss: 0.0169, Val Loss: 0.0164, Val R2: 0.7684
Epoch [25/50], Train Loss: 0.0169, Val Loss: 0.0163, Val R2: 0.7686
Epoch [26/50], Train Loss: 0.0169, Val Loss: 0.0163, Val R2: 0.7686
Epoch [27/50], Train Loss: 0.0168, Val Loss: 0.0163, Val R2: 0.7687
Epoch [28/50], Train Loss: 0.0169, Val Loss: 0.0163, Val R2: 0.7688
Epoch [29/50], Train Loss: 0.0168, Val Loss: 0.0163, Val R2: 0.7688
Epoch [30/50], Train Loss: 0.0168, Val Loss: 0.0163, Val R2: 0.7688
Epoch [31/50], Train Loss: 0.0167, Val Loss: 0.0163, Val R2: 0.7688
Epoch [32/50], Train Loss: 0.0168, Val Loss: 0.0163, Val R2: 0.7688
Epoch [33/50], Train Loss: 0.0167, Val Loss: 0.0163, Val R2: 0.7689
Epoch [34/50], Train Loss: 0.0167, Val Loss: 0.0163, Val R2: 0.7688
Epoch [35/50], Train Loss: 0.0168, Val Loss: 0.0163, Val R2: 0.7688
Epoch [36/50], Train Loss: 0.0168, Val Loss: 0.0163, Val R2: 0.7690
Epoch [37/50], Train Loss: 0.0167, Val Loss: 0.0163, Val R2: 0.7689
Epoch [38/50], Train Loss: 0.0167, Val Loss: 0.0163, Val R2: 0.7693
Epoch [39/50], Train Loss: 0.0169, Val Loss: 0.0163, Val R2: 0.7694
Epoch [40/50], Train Loss: 0.0167, Val Loss: 0.0163, Val R2: 0.7691
Epoch [41/50], Train Loss: 0.0167, Val Loss: 0.0163, Val R2: 0.7693
Epoch [42/50], Train Loss: 0.0167, Val Loss: 0.0163, Val R2: 0.7695
Epoch [43/50], Train Loss: 0.0166, Val Loss: 0.0163, Val R2: 0.7698
Epoch [44/50], Train Loss: 0.0167, Val Loss: 0.0162, Val R2: 0.7700
Epoch [45/50], Train Loss: 0.0166, Val Loss: 0.0163, Val R2: 0.7699
Epoch [46/50], Train Loss: 0.0166, Val Loss: 0.0162, Val R2: 0.7701
Epoch [47/50], Train Loss: 0.0166, Val Loss: 0.0162, Val R2: 0.7703
Epoch [48/50], Train Loss: 0.0166, Val Loss: 0.0162, Val R2: 0.7703
Epoch [49/50], Train Loss: 0.0166, Val Loss: 0.0162, Val R2: 0.7702
Epoch [50/50], Train Loss: 0.0165, Val Loss: 0.0162, Val R2: 0.7703
