Epoch [1/50], Train Loss: 0.0377, Val Loss: 0.0284, Val R2: 0.5911
Epoch [2/50], Train Loss: 0.0288, Val Loss: 0.0253, Val R2: 0.6382
Epoch [3/50], Train Loss: 0.0263, Val Loss: 0.0238, Val R2: 0.6596
Epoch [4/50], Train Loss: 0.0250, Val Loss: 0.0230, Val R2: 0.6726
Epoch [5/50], Train Loss: 0.0242, Val Loss: 0.0224, Val R2: 0.6804
Epoch [6/50], Train Loss: 0.0237, Val Loss: 0.0221, Val R2: 0.6850
Epoch [7/50], Train Loss: 0.0235, Val Loss: 0.0219, Val R2: 0.6882
Epoch [8/50], Train Loss: 0.0232, Val Loss: 0.0218, Val R2: 0.6894
Epoch [9/50], Train Loss: 0.0233, Val Loss: 0.0218, Val R2: 0.6900
Epoch [10/50], Train Loss: 0.0232, Val Loss: 0.0218, Val R2: 0.6902
Epoch [11/50], Train Loss: 0.0231, Val Loss: 0.0218, Val R2: 0.6902
Epoch [12/50], Train Loss: 0.0231, Val Loss: 0.0218, Val R2: 0.6904
Epoch [13/50], Train Loss: 0.0231, Val Loss: 0.0217, Val R2: 0.6912
Epoch [14/50], Train Loss: 0.0230, Val Loss: 0.0216, Val R2: 0.6925
Epoch [15/50], Train Loss: 0.0228, Val Loss: 0.0215, Val R2: 0.6939
Epoch [16/50], Train Loss: 0.0226, Val Loss: 0.0213, Val R2: 0.6974
Epoch [17/50], Train Loss: 0.0224, Val Loss: 0.0210, Val R2: 0.7014
Epoch [18/50], Train Loss: 0.0222, Val Loss: 0.0209, Val R2: 0.7029
Epoch [19/50], Train Loss: 0.0220, Val Loss: 0.0206, Val R2: 0.7081
Epoch [20/50], Train Loss: 0.0217, Val Loss: 0.0206, Val R2: 0.7077
Epoch [21/50], Train Loss: 0.0214, Val Loss: 0.0202, Val R2: 0.7131
Epoch [22/50], Train Loss: 0.0212, Val Loss: 0.0199, Val R2: 0.7168
Epoch [23/50], Train Loss: 0.0207, Val Loss: 0.0197, Val R2: 0.7204
Epoch [24/50], Train Loss: 0.0206, Val Loss: 0.0195, Val R2: 0.7233
Epoch [25/50], Train Loss: 0.0205, Val Loss: 0.0194, Val R2: 0.7248
Epoch [26/50], Train Loss: 0.0203, Val Loss: 0.0193, Val R2: 0.7265
Epoch [27/50], Train Loss: 0.0202, Val Loss: 0.0192, Val R2: 0.7274
Epoch [28/50], Train Loss: 0.0201, Val Loss: 0.0192, Val R2: 0.7280
Epoch [29/50], Train Loss: 0.0201, Val Loss: 0.0192, Val R2: 0.7277
Epoch [30/50], Train Loss: 0.0201, Val Loss: 0.0192, Val R2: 0.7279
Epoch [31/50], Train Loss: 0.0202, Val Loss: 0.0192, Val R2: 0.7279
Epoch [32/50], Train Loss: 0.0201, Val Loss: 0.0191, Val R2: 0.7280
Epoch [33/50], Train Loss: 0.0201, Val Loss: 0.0191, Val R2: 0.7284
Epoch [34/50], Train Loss: 0.0202, Val Loss: 0.0191, Val R2: 0.7286
Epoch [35/50], Train Loss: 0.0200, Val Loss: 0.0190, Val R2: 0.7297
Epoch [36/50], Train Loss: 0.0199, Val Loss: 0.0190, Val R2: 0.7307
Epoch [37/50], Train Loss: 0.0200, Val Loss: 0.0189, Val R2: 0.7318
Epoch [38/50], Train Loss: 0.0198, Val Loss: 0.0188, Val R2: 0.7335
Epoch [39/50], Train Loss: 0.0197, Val Loss: 0.0187, Val R2: 0.7344
Epoch [40/50], Train Loss: 0.0197, Val Loss: 0.0187, Val R2: 0.7338
Epoch [41/50], Train Loss: 0.0195, Val Loss: 0.0185, Val R2: 0.7372
Epoch [42/50], Train Loss: 0.0193, Val Loss: 0.0184, Val R2: 0.7386
Epoch [43/50], Train Loss: 0.0193, Val Loss: 0.0183, Val R2: 0.7395
Epoch [44/50], Train Loss: 0.0192, Val Loss: 0.0182, Val R2: 0.7407
Epoch [45/50], Train Loss: 0.0190, Val Loss: 0.0182, Val R2: 0.7415
Epoch [46/50], Train Loss: 0.0191, Val Loss: 0.0181, Val R2: 0.7422
Epoch [47/50], Train Loss: 0.0190, Val Loss: 0.0181, Val R2: 0.7428
Epoch [48/50], Train Loss: 0.0189, Val Loss: 0.0181, Val R2: 0.7430
Epoch [49/50], Train Loss: 0.0188, Val Loss: 0.0181, Val R2: 0.7428
Epoch [50/50], Train Loss: 0.0189, Val Loss: 0.0181, Val R2: 0.7429
