Epoch [1/50], Train Loss: 0.0182, Val Loss: 0.0173, Val R2: 0.7501
Epoch [2/50], Train Loss: 0.0174, Val Loss: 0.0171, Val R2: 0.7537
Epoch [3/50], Train Loss: 0.0173, Val Loss: 0.0170, Val R2: 0.7545
Epoch [4/50], Train Loss: 0.0170, Val Loss: 0.0169, Val R2: 0.7553
Epoch [5/50], Train Loss: 0.0171, Val Loss: 0.0169, Val R2: 0.7558
Epoch [6/50], Train Loss: 0.0170, Val Loss: 0.0169, Val R2: 0.7561
Epoch [7/50], Train Loss: 0.0170, Val Loss: 0.0169, Val R2: 0.7564
Epoch [8/50], Train Loss: 0.0170, Val Loss: 0.0168, Val R2: 0.7565
Epoch [9/50], Train Loss: 0.0169, Val Loss: 0.0168, Val R2: 0.7566
Epoch [10/50], Train Loss: 0.0169, Val Loss: 0.0168, Val R2: 0.7566
Epoch [11/50], Train Loss: 0.0169, Val Loss: 0.0168, Val R2: 0.7566
Epoch [12/50], Train Loss: 0.0170, Val Loss: 0.0168, Val R2: 0.7566
Epoch [13/50], Train Loss: 0.0169, Val Loss: 0.0168, Val R2: 0.7567
Epoch [14/50], Train Loss: 0.0169, Val Loss: 0.0168, Val R2: 0.7568
Epoch [15/50], Train Loss: 0.0168, Val Loss: 0.0168, Val R2: 0.7569
Epoch [16/50], Train Loss: 0.0169, Val Loss: 0.0168, Val R2: 0.7572
Epoch [17/50], Train Loss: 0.0169, Val Loss: 0.0168, Val R2: 0.7572
Epoch [18/50], Train Loss: 0.0168, Val Loss: 0.0168, Val R2: 0.7576
Epoch [19/50], Train Loss: 0.0167, Val Loss: 0.0168, Val R2: 0.7578
Epoch [20/50], Train Loss: 0.0168, Val Loss: 0.0167, Val R2: 0.7579
Epoch [21/50], Train Loss: 0.0167, Val Loss: 0.0167, Val R2: 0.7583
Epoch [22/50], Train Loss: 0.0167, Val Loss: 0.0167, Val R2: 0.7584
Epoch [23/50], Train Loss: 0.0166, Val Loss: 0.0167, Val R2: 0.7587
Epoch [24/50], Train Loss: 0.0167, Val Loss: 0.0167, Val R2: 0.7587
Epoch [25/50], Train Loss: 0.0166, Val Loss: 0.0167, Val R2: 0.7592
Epoch [26/50], Train Loss: 0.0166, Val Loss: 0.0166, Val R2: 0.7596
Epoch [27/50], Train Loss: 0.0165, Val Loss: 0.0166, Val R2: 0.7597
Epoch [28/50], Train Loss: 0.0166, Val Loss: 0.0166, Val R2: 0.7598
Epoch [29/50], Train Loss: 0.0165, Val Loss: 0.0166, Val R2: 0.7598
Epoch [30/50], Train Loss: 0.0165, Val Loss: 0.0166, Val R2: 0.7598
Epoch [31/50], Train Loss: 0.0164, Val Loss: 0.0166, Val R2: 0.7598
Epoch [32/50], Train Loss: 0.0165, Val Loss: 0.0166, Val R2: 0.7599
Epoch [33/50], Train Loss: 0.0165, Val Loss: 0.0166, Val R2: 0.7599
Epoch [34/50], Train Loss: 0.0165, Val Loss: 0.0166, Val R2: 0.7599
Epoch [35/50], Train Loss: 0.0165, Val Loss: 0.0166, Val R2: 0.7600
Epoch [36/50], Train Loss: 0.0165, Val Loss: 0.0166, Val R2: 0.7598
Epoch [37/50], Train Loss: 0.0165, Val Loss: 0.0166, Val R2: 0.7600
Epoch [38/50], Train Loss: 0.0165, Val Loss: 0.0166, Val R2: 0.7601
Epoch [39/50], Train Loss: 0.0165, Val Loss: 0.0166, Val R2: 0.7606
Epoch [40/50], Train Loss: 0.0166, Val Loss: 0.0165, Val R2: 0.7608
Epoch [41/50], Train Loss: 0.0164, Val Loss: 0.0165, Val R2: 0.7610
Epoch [42/50], Train Loss: 0.0164, Val Loss: 0.0165, Val R2: 0.7610
Epoch [43/50], Train Loss: 0.0164, Val Loss: 0.0165, Val R2: 0.7614
Epoch [44/50], Train Loss: 0.0164, Val Loss: 0.0165, Val R2: 0.7614
Epoch [45/50], Train Loss: 0.0164, Val Loss: 0.0165, Val R2: 0.7616
Epoch [46/50], Train Loss: 0.0163, Val Loss: 0.0165, Val R2: 0.7616
Epoch [47/50], Train Loss: 0.0163, Val Loss: 0.0165, Val R2: 0.7619
Epoch [48/50], Train Loss: 0.0163, Val Loss: 0.0165, Val R2: 0.7619
Epoch [49/50], Train Loss: 0.0163, Val Loss: 0.0165, Val R2: 0.7620
Epoch [50/50], Train Loss: 0.0163, Val Loss: 0.0165, Val R2: 0.7620
